name;reference;brand;category;collection;stock;price
Autry Basket;HYLM/MV01 40;autry;basket;SS26;2;100
Autry Basket;HYLM/MV01 41;autry;basket;SS26;2;100
Autry Basket;HYLM/MV01 42;autry;basket;SS26;2;100
Autry Basket;HYLM/MV01 43;autry;basket;SS26;2;100
Autry Basket;HYLM/MV02 40;autry;basket;SS26;2;100
Autry Basket;HYLM/MV02 41;autry;basket;SS26;2;100
Autry Basket;HYLM/MV02 42;autry;basket;SS26;2;100
Autry Basket;HYLM/MV02 43;autry;basket;SS26;2;100
Autry Basket;HYLM/SA06 40;autry;basket;SS26;2;100
Autry Basket;HYLM/SA06 41;autry;basket;SS26;2;100
Autry Basket;HYLM/UM23 39;autry;basket;SS26;2;100
Autry Basket;HYLM/UM23 40;autry;basket;SS26;2;100
Autry Basket;HYLM/UM23 41;autry;basket;SS26;2;100
Autry Basket;HYLM/UM23 42;autry;basket;SS26;2;100
Autry Basket;HYLM/UM23 43;autry;basket;SS26;2;100
Autry Basket;WWLM/NC04/E 40;autry;basket;SS26;2;100
Autry Basket;WWLM/NC04/E 41;autry;basket;SS26;2;100
Autry Basket;WWLM/NC04/E 42;autry;basket;SS26;2;100
Autry Basket;WWLM/NC04/E 43;autry;basket;SS26;2;100
Autry Basket;WWLM/NC04/E 44;autry;basket;SS26;2;100
Autry Basket;WWLM/NC04/E 45;autry;basket;SS26;2;100
Autry Basket;WWLM/NC05/E 40;autry;basket;SS26;2;100
Autry Basket;WWLM/NC05/E 41;autry;basket;SS26;2;100
Autry Basket;WWLM/NC05/E 42;autry;basket;SS26;2;100
Autry Basket;WWLM/NC05/E 43;autry;basket;SS26;2;100
Autry Basket;WWLM/NC05/E 44;autry;basket;SS26;2;100
Autry Basket;WWLM/NC33 39;autry;basket;SS26;2;100
Autry Basket;WWLM/NC33 40;autry;basket;SS26;2;100
Autry Basket;WWLM/NC33 41;autry;basket;SS26;2;100
Autry Basket;WWLM/NC33 42;autry;basket;SS26;2;100
Autry Basket;WWLM/NC33 43;autry;basket;SS26;2;100
Autry Basket;WWLM/NC33 44;autry;basket;SS26;2;100
Autry Basket;WWLM/NC33 45;autry;basket;SS26;2;100
Autry Basket;WWLM/NC34 39;autry;basket;SS26;2;100
Autry Basket;WWLM/NC34 40;autry;basket;SS26;2;100
Autry Basket;WWLM/NC34 41;autry;basket;SS26;2;100
Autry Basket;WWLM/NC34 42;autry;basket;SS26;2;100
Autry Basket;WWLM/NC34 43;autry;basket;SS26;2;100
Autry Basket;WWLM/NC34 44;autry;basket;SS26;2;100
Autry Basket;WWLM/UT10 42;autry;basket;SS26;2;100
Autry Basket;WWLM/UT10 43;autry;basket;SS26;2;100
Autry Basket;WWLM/UT10 44;autry;basket;SS26;2;100
Autry Basket;WWLM/UT11 39;autry;basket;SS26;2;100
Autry Basket;WWLM/UT11 40;autry;basket;SS26;2;100
Autry Basket;WWLM/UT11 41;autry;basket;SS26;2;100
Autry Basket;WWLM/UT11 42;autry;basket;SS26;2;100
Autry Basket;WWLM/UT11 43;autry;basket;SS26;2;100
Autry Basket;WWLM/UT11 44;autry;basket;SS26;2;100
Autry Basket;WWLM/UT11 45;autry;basket;SS26;2;100
Autry Basket;WWLM/UT38 41;autry;basket;SS26;2;100
Autry Basket;WWLM/UT38 42;autry;basket;SS26;2;100
Autry Basket;WWLM/UT38 43;autry;basket;SS26;2;100
Autry Basket;WWLM/UT38 44;autry;basket;SS26;2;100
Autry Basket;WWLM/UT40 39;autry;basket;SS26;2;100
Autry Basket;WWLM/UT40 40;autry;basket;SS26;2;100
Autry Basket;WWLM/UT40 41;autry;basket;SS26;2;100
Autry Basket;WWLM/UT40 42;autry;basket;SS26;2;100
